2.021000000000000000e+03,2.772780000000000200e+02
2.022000000000000000e+03,2.804309999999999832e+02
2.023000000000000000e+03,2.835840000000000032e+02
2.024000000000000000e+03,2.867379999999999995e+02
2.025000000000000000e+03,2.898910000000000196e+02
2.026000000000000000e+03,2.930439999999999827e+02
2.027000000000000000e+03,2.961979999999999791e+02
2.028000000000000000e+03,2.993509999999999991e+02
2.029000000000000000e+03,3.025040000000000191e+02
2.030000000000000000e+03,3.056569999999999823e+02
